adduser 3.137ubuntu1
amd64-microcode 3.20251202.1ubuntu0.24.04.1
apparmor 4.0.1really4.0.1-0ubuntu0.24.04.5
apport 2.28.1-0ubuntu3.8
apport-core-dump-handler 2.28.1-0ubuntu3.8
apport-symptoms 0.25
appstream 1.0.2-1build6
apt 2.8.3
base-files 13ubuntu10.4
base-passwd 3.6.3build1
bash 5.2.21-2ubuntu4
bcache-tools 1.0.8-5build1
bpfcc-tools 0.29.1+ds-1ubuntu7
bpftrace 0.20.2-1ubuntu4.3
bsdutils 1:2.39.3-9ubuntu6.5
btrfs-progs 6.6.3-1.1build2
busybox-initramfs 1:1.36.1-6ubuntu3.1
ca-certificates 20260601~24.04.1
cloud-guest-utils 0.33-1
cloud-init 25.2-0ubuntu1~24.04.1
console-setup 1.226ubuntu1
console-setup-linux 1.226ubuntu1
containerd.io 2.2.6-1~ubuntu.24.04~noble
coreutils 9.4-3ubuntu6.1
cpio 2.15+dfsg-1ubuntu2
cryptsetup 2:2.7.0-1ubuntu4.2
cryptsetup-bin 2:2.7.0-1ubuntu4.2
cryptsetup-initramfs 2:2.7.0-1ubuntu4.2
dash 0.5.12-6ubuntu5
dbus 1.14.10-4ubuntu4.1
dbus-bin 1.14.10-4ubuntu4.1
dbus-daemon 1.14.10-4ubuntu4.1
dbus-session-bus-common 1.14.10-4ubuntu4.1
dbus-system-bus-common 1.14.10-4ubuntu4.1
dbus-user-session 1.14.10-4ubuntu4.1
debconf 1.5.86ubuntu1
debianutils 5.17build1
dhcpcd-base 1:10.0.6-1ubuntu3.2
diffutils 1:3.10-1build1
dirmngr 2.4.4-2ubuntu17.4
distro-info-data 0.60ubuntu0.6
dmeventd 2:1.02.185-3ubuntu3.2
dmsetup 2:1.02.185-3ubuntu3.2
docker-buildx-plugin 0.35.0-1~ubuntu.24.04~noble
docker-ce 5:29.6.1-1~ubuntu.24.04~noble
docker-ce-cli 5:29.6.1-1~ubuntu.24.04~noble
docker-ce-rootless-extras 5:29.6.1-1~ubuntu.24.04~noble
docker-compose-plugin 5.3.1-1~ubuntu.24.04~noble
dpkg 1.22.6ubuntu6.6
dracut-install 060+5-1ubuntu3.3
e2fsprogs 1.47.0-2.4~exp1ubuntu4.1
eatmydata 131-1ubuntu1
ethtool 1:6.7-1build1
fdisk 2.39.3-9ubuntu6.5
finalrd 9build1
findutils 4.9.0-5build1
firmware-sof-signed 2023.12.1-1ubuntu1.11
fontconfig-config 2.15.0-1.1ubuntu2
fonts-dejavu-core 2.37-8
fonts-dejavu-mono 2.37-8
fuse3 3.14.0-5build1
gawk 1:5.2.1-2build3
gcc-14-base 14.2.0-4ubuntu2~24.04.1
gdisk 1.0.10-1build1
gettext-base 0.21-14ubuntu2
gir1.2-girepository-2.0 1.80.1-1
gir1.2-glib-2.0 2.80.0-6ubuntu3.8
gir1.2-packagekitglib-1.0 1.2.8-2ubuntu1.5
git 1:2.43.0-1ubuntu7.3
git-man 1:2.43.0-1ubuntu7.3
gnupg 2.4.4-2ubuntu17.4
gnupg-l10n 2.4.4-2ubuntu17.4
gnupg-utils 2.4.4-2ubuntu17.4
gpg 2.4.4-2ubuntu17.4
gpg-agent 2.4.4-2ubuntu17.4
gpg-wks-client 2.4.4-2ubuntu17.4
gpgconf 2.4.4-2ubuntu17.4
gpgsm 2.4.4-2ubuntu17.4
gpgv 2.4.4-2ubuntu17.4
